paramSetNum,N,kd,g0,g1,g2,g3,g0_b,g1_b,g2_b,g3_b,ha,hr,fa,fr,c_c,c_cr,c_o
154,25,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,10000.0,100.0,1e-05,1e-05,1e-05
155,25,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,10000.0,100.0,1e-05,1e-05,0.001
156,25,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,10000.0,100.0,1e-05,1e-05,1.0
157,25,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,10000.0,100.0,1e-05,0.001,1e-05
158,25,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,10000.0,100.0,1e-05,0.001,0.001
159,25,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,10000.0,100.0,1e-05,0.001,1.0
160,25,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,10000.0,100.0,1e-05,0.1,1e-05
161,25,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,10000.0,100.0,1e-05,0.1,0.001
162,25,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,10000.0,100.0,1e-05,0.1,1.0
163,25,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,10000.0,10000.0,1e-05,1e-05,1e-05
164,25,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,10000.0,10000.0,1e-05,1e-05,0.001
165,25,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,10000.0,10000.0,1e-05,1e-05,1.0
166,25,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,10000.0,10000.0,1e-05,0.001,1e-05
167,25,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,10000.0,10000.0,1e-05,0.001,0.001
168,25,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,10000.0,10000.0,1e-05,0.001,1.0
169,25,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,10000.0,10000.0,1e-05,0.1,1e-05
170,25,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,10000.0,10000.0,1e-05,0.1,0.001
171,25,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,10000.0,10000.0,1e-05,0.1,1.0
